Date ,No. of Active Cases,Total Recovered,Dead,Total Cases
13-Mar-2020,1,0,0,1
19-Mar-2020,2,0,0,2
24-Mar-2020,3,0,0,3
29-Mar-2020,4,1,0,5
31-Mar-2020,7,1,0,8
02-Apr-2020,16,1,0,17
04-Apr-2020,18,2,0,20
06-Apr-2020,21,2,0,24
08-Apr-2020,22,2,0,26
10-Apr-2020,22,3,0,27
13-Apr-2020,23,3,0,28
19-Apr-2020,15,12,1,28
20-Apr-2020,11,18,2,31
22-Apr-2020,9,20,2,31
23-Apr-2020,15,20,2,37
24-Apr-2020,12,24,2,38
25-Apr-2020,14,24,2,40
26-Apr-2020,17,24,2,43
30-Apr-2020,16,25,2,43
02-May-2020,17,25,2,44
05-May-2020,14,28,2,44
06-May-2020,8,34,2,44
08-May-2020,15,34,2,51
09-May-2020,14,35,2,51
10-May-2020,14,36,3,53
11-May-2020,10,40,3,53
12-May-2020,11,40,3,54
13-May-2020,12,40,3,55
15-May-2020,16,40,6,62
20-May-2020,22,40,6,68
23-May-2020,16,52,6,74
24-May-2020,19,52,7,78
28-May-2020,13,58,7,78
29-May-2020,48,62,7,117
30-May-2020,53,68,11,131
31-May-2020,59,70,12,141
01-Jun-2020,69,73,12,152
02-Jun-2020,73,78,12,163
03-Jun-2020,87,82,12,177
04-Jun-2020,95,90,12,195
05-Jun-2020,90,95,12,195
06-Jun-2020,76,109,12,195
07-Jun-2020,80,121,12,212
08-Jun-2020,65,136,12,212
09-Jun-2020,71,141,12,223
10-Jun-2020,51,161,12,223
11-Jun-2020,61,167,12,239
12-Jun-2020,49,186,12,246
13-Jun-2020,39,196,12,247
14-Jun-2020,49,197,12,258
15-Jun-2020,41,206,12,259
16-Jun-2020,37,213,12,261
17-Jun-2020,36,219,12,266
18-Jun-2020,45,220,12,276
19-Jun-2020,34,233,12,278
20-Jun-2020,30,237,12,278
21-Jun-2020,22,245,12,278
24-Jun-2020,48,254,12,314
25-Jun-2020,81,260,12,353
26-Jun-2020,105,265,12,382
27-Jun-2020,111,273,12,396
28-Jun-2020,125,283,12,433
29-Jun-2020,117,291,12,420
30-Jun-2020,144,307,12,463
01-Jul-2020,174,312,12,498
02-Jul-2020,161,333,15,509
03-Jul-2020,160,369,15,544
04-Jul-2020,177,385,15,577
05-Jul-2020,201,400,17,618
06-Jul-2020,210,419,17,646
07-Jul-2020,222,455,18,695
08-Jul-2020,227,481,20,728
9-Jul-2020,280,494,20,794
10-Jul-2020,293,529,20,842
11-Jul-2020,319,568,20,907
12-Jul-2020,315,649,22,986
13-Jul-2020,360,649,26,1035
14-Jul-2020,384,666,26,1076
15-Jul-2020,367,727,30,1124
16-Jul-2020,516,773,33,1322
17-Jul-2020,616,794,33,1439
18-Jul-2020,613,920,38,1571
19-Jul-2020,614,1025,38,1677
20-Jul-2020,854,1133,40,2027
21-Jul-2020,915,1233,44,2192
22-Jul-2020,1281,1291,48,2620
23-Jul-2020,1337,1384,50,2771
24-Jul-2020,1302,1436,50,2788
25-Jul-2020,1537,1480,51,3068
26-Jul-2020,1451,1945,51,3447